qid,abstractqueryexpansion,abstractqueryexpansion.qld.map,qid.1,backtranslation_yue_hant,backtranslation_yue_hant.qld.map,qid.2,backtranslation_kor_hang,backtranslation_kor_hang.qld.map,qid.3,backtranslation_arb_arab,backtranslation_arb_arab.qld.map,qid.4,backtranslation_pes_arab,backtranslation_pes_arab.qld.map,qid.5,backtranslation_fra_latn,backtranslation_fra_latn.qld.map,qid.6,backtranslation_deu_latn,backtranslation_deu_latn.qld.map,qid.7,backtranslation_rus_cyrl,backtranslation_rus_cyrl.qld.map,qid.8,backtranslation_zsm_latn,backtranslation_zsm_latn.qld.map,qid.9,backtranslation_tam_taml,backtranslation_tam_taml.qld.map,qid.10,backtranslation_swh_latn,backtranslation_swh_latn.qld.map
169,battles in the civil war,0.0868,169,Civil War,0.0019,169,The Civil War ,0.0019,169,Your battles in the Civil War  ,0.0814,169,Civil War battles,0.0868,169,battles of the civil war,0.0868,169,Battles in the Civil War,0.0868,169,battles in the civil war,0.0868,169,The Civil War,0.0019,169,The Civil War was a period of civil war ,0.0013,169,civil war,0.0019
170,scooters,0.0055,170,The scooter ,0.0055,170,The scooter ,0.0055,170,The bikes  ,0.0,170,The scooters ,0.0055,170,the scooters,0.0055,170,Motor vehicles,0.0,170,The motorcycle,0.0,170,scooter,0.0055,170,scooters,0.0055,170,motorcycle,0.0
171,ron howard,0.1245,171,Ron Howard ,0.1245,171,  What ,0.0,171,Ron Howard  ,0.1245,171,Ron Howard ,0.1245,171,Ron Howard,0.1245,171,Ron Howard,0.1245,171,Ron Howard,0.1245,171,Ron Howard,0.1245,171,Ron Howard,0.1245,171,Ron Howard,0.1245
172,becoming a paralegal,0.2168,172,I became a legal assistant ,0.0057,172,The legal profession ,0.002,172,Become a legal assistant  ,0.0351,172,Becoming a lawyer ,0.0004,172,become a paramilitary,0.0,172,Becoming a lawyer,0.0004,172,become a legal assistant,0.0351,172,Become a paralegal,0.2168,172,Legal aid,0.0,172,to be a legal assistant,0.0072
173,hip fractures,0.3259,173,The fracture ,0.0497,173,A fracture of the hip ,0.3259,173,Broken hip  ,0.0326,173,Joint fractures,0.0244,173,fractures of the hip,0.3259,173,Hip fractures,0.3259,173,hip fractures,0.3259,173,a broken hip,0.0326,173,Hip fractures,0.3259,173,a broken ankle,0.0002
174,rock art,0.1006,174,Rock art ,0.1006,174,Rock art,0.1006,174,The art of rock  ,0.1006,174,Rock art ,0.1006,174,Art rock,0.1006,174,Rock art,0.1006,174,Rock art,0.1006,174,Rock art,0.1006,174,rock art,0.1006,174,rock art,0.1006
175,signs of a heartattack,0.0255,175,Signs of heart attack ,0.0912,175,Signs of a heart attack,0.0912,175,Signs of a heart attack  ,0.0912,175,Signs of a heart attack ,0.0912,175,signs of heart attack,0.0912,175,Signs of a Heart Attack,0.0912,175,signs of heart attack,0.0912,175,Signs of a heart attack,0.0912,175,The symptoms of a heart attack,0.0767,175,signs of heart attack,0.0912
176,weather strip,0.0004,176,Weather conditions ,0.0,176,Weather,0.0,176,The weather tape  ,0.0,176,The weather line ,0.0,176,Weather band,0.0,176,Weather strips,0.0004,176,weather band,0.0,176,Weather tracks,0.0,176,Weather trajectory,0.0,176,Weather line,0.0
177,best long term care insurance,0.0852,177,The best long term insurance ,0.063,177,The best long term care insurance ,0.0852,177,Best long term care insurance  ,0.0852,177,The best long term care insurance ,0.0852,177,the best insurance for long term care,0.0852,177,Best long term care insurance,0.0852,177,Best long term care insurance,0.0852,177,the best long term care insurance,0.0852,177,Best long term care insurance,0.0852,177,Best long term insurance service,0.0696
178,pork tenderloin,0.0581,178,The pork ,0.0038,178,It s a pig ,0.0,178,The pork ,0.0038,178,Pork ,0.0038,178,pork wool,0.0,178,Meat of swine,0.0,178,Pig meat,0.0,178,Pork,0.0038,178,Pork,0.0038,178,pork,0.0038
179,black history,0.0217,179,The history of the black people ,0.0127,179,The black market ,0.0,179,The history of the black people  ,0.0127,179,The black history ,0.0217,179,black story,0.0,179,The black history,0.0217,179,The black story,0.0,179,The history of black,0.0217,179,The history of the Black,0.0217,179,history of blacks,0.0217
180,newyork hotels,0.0056,180,This is a hotel in New York City ,0.0006,180,Hotel in New York ,0.0076,180,The hotels in New York  ,0.0076,180,The hotels in New York ,0.0076,180,hotels in New York,0.0076,180,Hotels in New York,0.0076,180,hotels in New York,0.0076,180,hotel in New York,0.0076,180,New York hotels,0.0076,180,hotels in New York,0.0076
181,old coins,0.0244,181,It s old ,0.0,181,Old coins ,0.0244,181,Old coins  ,0.0244,181,Old coins ,0.0244,181,old coins,0.0244,181,Other coins,0.0027,181,old coins,0.0244,181,Old coins,0.0244,181,Old coins,0.0244,181,ancient coins,0.0006
182,quit smoking,0.1327,182,Quit smoking ,0.1327,182,Stop smoking ,0.0365,182,Quit smoking  ,0.1327,182,Quit smoking,0.1327,182,quit smoking,0.1327,182,Quit Smoking,0.1327,182,to quit smoking,0.1327,182,Stop smoking,0.0365,182,Stop smoking,0.0365,182,quit smoking,0.1327
183,kansas city mo,0.0042,183,Kansas City ,0.0564,183,Kansas City  Mo ,0.0042,183,Kansas City  ,0.0564,183,Kansas City ,0.0564,183,Kansas City is not,0.0564,183,Kansas City Mo,0.0042,183,Kansas City,0.0564,183,Kansas City mo,0.0042,183,Kansas City,0.0564,183,Kansas City Mo,0.0042
184,civil right movement,0.1485,184,Civil rights movement,0.1485,184,The Civil Rights Movement,0.1485,184,The civil movement  ,0.1193,184,Civil rights movement,0.1485,184,civil rights movement,0.1485,184,The European Parliament,0.0,184,the civil law,0.0019,184,civil rights movement,0.1485,184,Civil rights movement,0.1485,184,civil rights movement,0.1485
185,credit report,0.0214,185,Credit reports ,0.0214,185,Credit reports ,0.0214,185,Credit report,0.0214,185,Credit report,0.0214,185,credit report,0.0214,185,Credit report,0.0214,185,credit reporting,0.0214,185,credit report,0.0214,185,credit report,0.0214,185,report on credit,0.0214
186,unc,0.0491,186,Select themes,0.0,186,I m not sure ,0.0,186,On the Sea  ,0.0,186,Unc ,0.0491,186,unc,0.0491,186,Unc,0.0491,186, c ,0.0,186,Unc,0.0491,186,A ,,186,the unc,0.0491
187,vanuatu,0.0894,187,This is Vanua ,0.0,187,I m going to Vanuatu ,0.0486,187,What is it ,0.0,187,The van ,0.0,187,the vanuatu,0.0894,187,of the,,187,The Venue,0.0,187,Vanuatu is a country,0.1464,187,forest,0.0,187,Who are they ,0.0
188,internet phone service,0.0058,188,Internet phone service,0.0058,188,Internet telephone service,0.001,188,Internet telephone service,0.001,188,Internet telephone service,0.001,188,telephone and Internet service,0.001,188,Internet telephone service,0.001,188,Internet telephone service,0.001,188,Internet service telephone,0.001,188,Internet telephone service,0.001,188,Internet telephone service,0.001
189,gs pay rate,0.0168,189,Gs  the salary rate ,0.0123,189,Gs wage rate,0.0178,189,The salary rate,0.0,189,The rate of pay,0.0004,189,rate of remuneration,0.0,189,Gs wages,0.0124,189,GC wage rate,0.0,189,Gs wage rate,0.0178,189,Gs wage rate,0.0178,189,the salary,0.0
190,brooks brothers clearance,0.0651,190,Brother Brook  license ,0.0118,190,The Brooks Brothers are promoted ,0.0703,190,The Brooks brothers are cleared  ,0.0082,190,The Brooks Brothers are licensed ,0.0118,190,Statement by the Brooks Brothers,0.0104,190,Brooks brothers departure,0.0087,190,Brooks Brothers is allowed  ,0.012,190,Application brooks,0.0001,190,Brother Brooks allowed,0.012,190,brooks brother clearance,0.0651
191,churchill downs,0.074,191,The hills are falling ,0.0,191,Down the church building ,0.0,191,Down in the church ,0.0,191,The church ,0.0,191,the church s descent,0.0,191,Strike the Church,0.0,191,The church s disbandment,0.0,191,Down the churchill,0.074,191,The Church,0.0,191,churchill down,0.074
192,condos in florida,0.0399,192,Apartment in Florida ,0.0,192,Apartment in Florida ,0.0,192,Apartment in Florida  ,0.0,192,Apartment in Florida ,0.0,192,Apartments in Florida,0.0,192,Housing in Florida,0.0001,192,Apartments in Florida,0.0,192,Apartment in Florida,0.0,192,Apartments in Florida,0.0,192,interior houses in Florida,0.0
193,dog clean up bags,0.1044,193,Dogs are cleaning bags ,0.1056,193,The dog cleaner ,0.0001,193,The dog cleans the bags ,0.1056,193,Where to clean the hat ,0.0,193,Dog cleaning bags,0.1056,193,Cleaning Dogs,0.002,193,The dog cleans the bags ,0.1056,193,Cleaning the dog bag,0.1056,193,Dog cleaning bags,0.1056,193,dog cleaning bags,0.1056
194,designer dog breeds,0.8362,194,Designed dog breeds ,0.8362,194,Designed Dog Breed,0.8362,194,Designed dog breeds,0.8362,194,Designers  dog breed,0.8362,194,design dog breeds,0.8362,194,Designers  breeds,0.8275,194,designers   dogs,0.3541,194,Design dog breed,0.8362,194,Designer dog breeds,0.8362,194,breeding dog,0.1427
195,pressure washers,0.0104,195,The pressure washer ,0.0104,195,Pressure washing machine,0.0002,195,Pressure washers  ,0.0104,195,The pressure washers ,0.0104,195,pressure washing machines,0.0002,195,Washing machines,0.0,195,washing machines,0.0,195,pressure washing machine,0.0002,195,Pressure washing machines,0.0002,195,Pressure washing machines,0.0002
196,sore throat,0.1724,196,My throat hurts ,0.0005,196,I m in a lot of pain ,0.0,196,Pain in the throat ,0.0442,196,Pain in the throat ,0.0442,196,sore throat,0.1724,196,Pain in the throat,0.0442,196,a sore throat,0.1724,196,A sore throat,0.1724,196,Throat pain,0.0442,196,back pain,0.0
197,idaho state flower,0.1574,197,Idaho flower ,0.0014,197,Idaho flower,0.0014,197,Idaho state flower  ,0.1574,197,Flower of Idaho ,0.0014,197,Idaho state flower,0.1574,197,Idaho flower,0.0014,197,I know ,0.0,197,Idaho state flower,0.1574,197,Idaho State Flower,0.1574,197,Idaho state flowers,0.1574
198,indiana state fairgrounds,0.2042,198,The Indiana Fair ,0.0262,198,The Indiana State Fair ,0.0354,198,The Indiana Department of Housing,0.0,198,The Indiana Fairgrounds ,0.1634,198,the Indiana State Fairgrounds,0.2042,198,Holidays in Indiana,0.0,198,India,0.0,198,Indiana state fair,0.0354,198,Exhibition grounds in Indiana,0.0009,198,exhibition sites of the state of Indiana,0.0044
199,fybromyalgia,0.0132,199,Myalgic diseases ,0.0029,199,I know ,0.0,199,My daughter is a fibromyalgia ,0.0227,199,Fibromyalgia,0.2046,199,the phybromyalgia,,199,Fibromyalgia,0.2046,199,Fibromyalgia,0.2046,199,Fibromyalgia,0.2046,199,The first is the fact that the patient is suffering from fibromyalgia ,0.0451,199,paralysis,0.0
200,ontario california airport,0.1905,200,Ontario  California Airport,0.1905,200,Ontario  California Airport,0.1905,200,Ontario  California airport,0.1905,200,The airport in Ontario  California ,0.1905,200,Airport of Ontario California,0.1905,200,Airport of Ontario,0.1,200,Ontario airport in California,0.1905,200,Ontario california airport,0.1905,200,Ontario California Airport,0.1905,200,Ontario California airport,0.1905
