qid,abstractqueryexpansion,abstractqueryexpansion.qld.recip_rank,qid.1,backtranslation_yue_hant,backtranslation_yue_hant.qld.recip_rank,qid.2,backtranslation_kor_hang,backtranslation_kor_hang.qld.recip_rank,qid.3,backtranslation_arb_arab,backtranslation_arb_arab.qld.recip_rank,qid.4,backtranslation_pes_arab,backtranslation_pes_arab.qld.recip_rank,qid.5,backtranslation_fra_latn,backtranslation_fra_latn.qld.recip_rank,qid.6,backtranslation_deu_latn,backtranslation_deu_latn.qld.recip_rank,qid.7,backtranslation_rus_cyrl,backtranslation_rus_cyrl.qld.recip_rank,qid.8,backtranslation_zsm_latn,backtranslation_zsm_latn.qld.recip_rank,qid.9,backtranslation_tam_taml,backtranslation_tam_taml.qld.recip_rank,qid.10,backtranslation_swh_latn,backtranslation_swh_latn.qld.recip_rank
172,becoming a paralegal,0.3333,172,I became a legal assistant ,0.0217,172,The legal profession ,0.0152,172,Become a legal assistant  ,0.25,172,Becoming a lawyer ,0.0061,172,become a paramilitary,0.0,172,Becoming a lawyer,0.0061,172,become a legal assistant,0.25,172,Become a paralegal,0.3333,172,Legal aid,0.0,172,to be a legal assistant,0.0123
173,hip fractures,0.25,173,The fracture ,0.0556,173,A fracture of the hip ,0.25,173,Broken hip  ,1.0,173,Joint fractures,0.1429,173,fractures of the hip,0.25,173,Hip fractures,0.25,173,hip fractures,0.25,173,a broken hip,1.0,173,Hip fractures,0.25,173,a broken ankle,0.0115
174,rock art,0.1111,174,Rock art ,0.1111,174,Rock art,0.1111,174,The art of rock  ,0.1111,174,Rock art ,0.1111,174,Art rock,0.1111,174,Rock art,0.1111,174,Rock art,0.1111,174,Rock art,0.1111,174,rock art,0.1111,174,rock art,0.1111
175,signs of a heartattack,1.0,175,Signs of heart attack ,0.5,175,Signs of a heart attack,0.5,175,Signs of a heart attack  ,0.5,175,Signs of a heart attack ,0.5,175,signs of heart attack,0.5,175,Signs of a Heart Attack,0.5,175,signs of heart attack,0.5,175,Signs of a heart attack,0.5,175,The symptoms of a heart attack,0.5,175,signs of heart attack,0.5
176,weather strip,0.007,176,Weather conditions ,0.0,176,Weather,0.0,176,The weather tape  ,0.0,176,The weather line ,0.0,176,Weather band,0.0,176,Weather strips,0.007,176,weather band,0.0,176,Weather tracks,0.0,176,Weather trajectory,0.0,176,Weather line,0.0
177,best long term care insurance,0.0435,177,The best long term insurance ,0.0588,177,The best long term care insurance ,0.0435,177,Best long term care insurance  ,0.0435,177,The best long term care insurance ,0.0435,177,the best insurance for long term care,0.0435,177,Best long term care insurance,0.0435,177,Best long term care insurance,0.0435,177,the best long term care insurance,0.0435,177,Best long term care insurance,0.0435,177,Best long term insurance service,0.1111
178,pork tenderloin,0.0667,178,The pork ,0.0088,178,It s a pig ,0.0,178,The pork ,0.0088,178,Pork ,0.0088,178,pork wool,0.0,178,Meat of swine,0.0,178,Pig meat,0.0,178,Pork,0.0088,178,Pork,0.0088,178,pork,0.0088
179,black history,0.0333,179,The history of the black people ,0.0135,179,The black market ,0.0,179,The history of the black people  ,0.0135,179,The black history ,0.0333,179,black story,0.0,179,The black history,0.0333,179,The black story,0.0,179,The history of black,0.0333,179,The history of the Black,0.0333,179,history of blacks,0.0333
180,newyork hotels,0.125,180,This is a hotel in New York City ,0.0071,180,Hotel in New York ,0.5,180,The hotels in New York  ,0.5,180,The hotels in New York ,0.5,180,hotels in New York,0.5,180,Hotels in New York,0.5,180,hotels in New York,0.5,180,hotel in New York,0.5,180,New York hotels,0.5,180,hotels in New York,0.5
181,old coins,0.1429,181,It s old ,0.0,181,Old coins ,0.1429,181,Old coins  ,0.1429,181,Old coins ,0.1429,181,old coins,0.1429,181,Other coins,0.0102,181,old coins,0.1429,181,Old coins,0.1429,181,Old coins,0.1429,181,ancient coins,0.0013
182,quit smoking,0.1111,182,Quit smoking ,0.1111,182,Stop smoking ,0.5,182,Quit smoking  ,0.1111,182,Quit smoking,0.1111,182,quit smoking,0.1111,182,Quit Smoking,0.1111,182,to quit smoking,0.1111,182,Stop smoking,0.5,182,Stop smoking,0.5,182,quit smoking,0.1111
183,kansas city mo,0.0112,183,Kansas City ,0.0091,183,Kansas City  Mo ,0.0112,183,Kansas City  ,0.0091,183,Kansas City ,0.0091,183,Kansas City is not,0.0091,183,Kansas City Mo,0.0112,183,Kansas City,0.0091,183,Kansas City mo,0.0112,183,Kansas City,0.0091,183,Kansas City Mo,0.0112
184,civil right movement,0.0769,184,Civil rights movement,0.0769,184,The Civil Rights Movement,0.0769,184,The civil movement  ,0.0435,184,Civil rights movement,0.0769,184,civil rights movement,0.0769,184,The European Parliament,0.0,184,the civil law,0.0102,184,civil rights movement,0.0769,184,Civil rights movement,0.0769,184,civil rights movement,0.0769
185,credit report,0.0154,185,Credit reports ,0.0154,185,Credit reports ,0.0154,185,Credit report,0.0154,185,Credit report,0.0154,185,credit report,0.0154,185,Credit report,0.0154,185,credit reporting,0.0154,185,credit report,0.0154,185,credit report,0.0154,185,report on credit,0.0154
186,unc,0.0714,186,Select themes,0.0,186,I m not sure ,0.0,186,On the Sea  ,0.0,186,Unc ,0.0714,186,unc,0.0714,186,Unc,0.0714,186, c ,0.0,186,Unc,0.0714,186,A ,,186,the unc,0.0714
187,vanuatu,0.1667,187,This is Vanua ,0.0,187,I m going to Vanuatu ,0.0625,187,What is it ,0.0,187,The van ,0.0,187,the vanuatu,0.1667,187,of the,,187,The Venue,0.0,187,Vanuatu is a country,0.3333,187,forest,0.0,187,Who are they ,0.0
188,internet phone service,0.0076,188,Internet phone service,0.0076,188,Internet telephone service,0.0033,188,Internet telephone service,0.0033,188,Internet telephone service,0.0033,188,telephone and Internet service,0.0033,188,Internet telephone service,0.0033,188,Internet telephone service,0.0033,188,Internet service telephone,0.0033,188,Internet telephone service,0.0033,188,Internet telephone service,0.0033
189,gs pay rate,0.0323,189,Gs  the salary rate ,0.0106,189,Gs wage rate,0.02,189,The salary rate,0.0,189,The rate of pay,0.0104,189,rate of remuneration,0.0,189,Gs wages,0.0123,189,GC wage rate,0.0,189,Gs wage rate,0.02,189,Gs wage rate,0.02,189,the salary,0.0
190,brooks brothers clearance,0.2,190,Brother Brook  license ,0.0833,190,The Brooks Brothers are promoted ,1.0,190,The Brooks brothers are cleared  ,0.05,190,The Brooks Brothers are licensed ,0.0833,190,Statement by the Brooks Brothers,0.0714,190,Brooks brothers departure,0.0667,190,Brooks Brothers is allowed  ,0.0833,190,Application brooks,0.0012,190,Brother Brooks allowed,0.0833,190,brooks brother clearance,0.2
191,churchill downs,0.1429,191,The hills are falling ,0.0,191,Down the church building ,0.0,191,Down in the church ,0.0,191,The church ,0.0,191,the church s descent,0.0,191,Strike the Church,0.0,191,The church s disbandment,0.0,191,Down the churchill,0.1429,191,The Church,0.0,191,churchill down,0.1429
192,condos in florida,0.0588,192,Apartment in Florida ,0.004,192,Apartment in Florida ,0.004,192,Apartment in Florida  ,0.004,192,Apartment in Florida ,0.004,192,Apartments in Florida,0.004,192,Housing in Florida,0.0021,192,Apartments in Florida,0.004,192,Apartment in Florida,0.004,192,Apartments in Florida,0.004,192,interior houses in Florida,0.0
193,dog clean up bags,1.0,193,Dogs are cleaning bags ,1.0,193,The dog cleaner ,0.0028,193,The dog cleans the bags ,1.0,193,Where to clean the hat ,0.0,193,Dog cleaning bags,1.0,193,Cleaning Dogs,0.0091,193,The dog cleans the bags ,1.0,193,Cleaning the dog bag,1.0,193,Dog cleaning bags,1.0,193,dog cleaning bags,1.0
194,designer dog breeds,1.0,194,Designed dog breeds ,1.0,194,Designed Dog Breed,1.0,194,Designed dog breeds,1.0,194,Designers  dog breed,1.0,194,design dog breeds,1.0,194,Designers  breeds,0.5,194,designers   dogs,0.1667,194,Design dog breed,1.0,194,Designer dog breeds,1.0,194,breeding dog,0.0105
195,pressure washers,0.0093,195,The pressure washer ,0.0093,195,Pressure washing machine,0.0019,195,Pressure washers  ,0.0093,195,The pressure washers ,0.0093,195,pressure washing machines,0.0019,195,Washing machines,0.0,195,washing machines,0.0,195,pressure washing machine,0.0019,195,Pressure washing machines,0.0019,195,Pressure washing machines,0.0019
196,sore throat,0.5,196,My throat hurts ,0.025,196,I m in a lot of pain ,0.0,196,Pain in the throat ,0.0189,196,Pain in the throat ,0.0189,196,sore throat,0.5,196,Pain in the throat,0.0189,196,a sore throat,0.5,196,A sore throat,0.5,196,Throat pain,0.0189,196,back pain,0.0
197,idaho state flower,0.5,197,Idaho flower ,0.0286,197,Idaho flower,0.0286,197,Idaho state flower  ,0.5,197,Flower of Idaho ,0.0286,197,Idaho state flower,0.5,197,Idaho flower,0.0286,197,I know ,0.0,197,Idaho state flower,0.5,197,Idaho State Flower,0.5,197,Idaho state flowers,0.5
198,indiana state fairgrounds,0.25,198,The Indiana Fair ,0.125,198,The Indiana State Fair ,0.25,198,The Indiana Department of Housing,0.0,198,The Indiana Fairgrounds ,0.25,198,the Indiana State Fairgrounds,0.25,198,Holidays in Indiana,0.0,198,India,0.0,198,Indiana state fair,0.25,198,Exhibition grounds in Indiana,0.0137,198,exhibition sites of the state of Indiana,0.0588
199,fybromyalgia,0.3333,199,Myalgic diseases ,0.0303,199,I know ,0.0,199,My daughter is a fibromyalgia ,0.0263,199,Fibromyalgia,0.5,199,the phybromyalgia,,199,Fibromyalgia,0.5,199,Fibromyalgia,0.5,199,Fibromyalgia,0.5,199,The first is the fact that the patient is suffering from fibromyalgia ,0.5,199,paralysis,0.0
200,ontario california airport,0.1111,200,Ontario  California Airport,0.1111,200,Ontario  California Airport,0.1111,200,Ontario  California airport,0.1111,200,The airport in Ontario  California ,0.1111,200,Airport of Ontario California,0.1111,200,Airport of Ontario,0.0417,200,Ontario airport in California,0.1111,200,Ontario california airport,0.1111,200,Ontario California Airport,0.1111,200,Ontario California airport,0.1111
